bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
0.25,"(0.2, 0.3]",3,-0.010233708466852676,0.007581730540766226,0.005361093078504948,-0.013489014337707772,0.005215233371208955,0.003773749410220943
0.35000000000000003,"(0.3, 0.4]",39,-0.011151305825112017,0.01137493677740816,0.0018452584093037283,-0.010874825357737095,0.006200206530363568,0.0012443248982263017
0.45000000000000007,"(0.4, 0.5]",52,-0.009052807060488654,0.007827786156287767,0.0010961093056679925,-0.008307146905442764,0.007934471838407176,0.0013790381785553309
0.5500000000000002,"(0.5, 0.6]",58,-0.008194114151857794,0.012263397669844077,0.0016243267021264541,-0.007799985330489534,0.008185647383591172,0.0013470973263417201
0.6500000000000001,"(0.6, 0.7]",43,-0.006702275624784589,0.010605589641845485,0.0016364780100600208,-0.00654828355594006,0.009254813167235238,0.0017688596145770542
0.7500000000000002,"(0.7, 0.8]",43,-0.008948636108379957,0.021453397938892244,0.003310331170040911,-0.00904302970047155,0.009812900507897312,0.0018755260745547393
0.8500000000000003,"(0.8, 0.9]",28,-0.005587381392541653,0.009013037734927364,0.0017345599208255227,-0.005555122702325832,0.006063818829625015,0.0014362404042863243
0.9500000000000002,"(0.9, 1.0]",34,-0.004716329148571361,0.015456284835499927,0.002690593833947426,-0.002862621518751496,0.01077734448170956,0.00231649968053872
1.0500000000000003,"(1.0, 1.1]",34,-0.004464106422070213,0.01672334983058649,0.002911161538235613,-0.003886953371301516,0.007956596965153363,0.0017102036924989724
1.1500000000000004,"(1.1, 1.2]",17,-0.003229266897040617,0.007461130348095052,0.001865282587023763,-0.003766205854077498,0.006642782769749889,0.0020192287834479503
1.2500000000000004,"(1.2, 1.3]",27,-0.004998360605551848,0.01583090760570497,0.0031046964153605416,-0.0025303811762391604,0.006613125632640158,0.0015950886681099518
1.3500000000000003,"(1.3, 1.4]",26,-0.008578905407775873,0.015147361607604588,0.0030294723215209176,-0.005560044847225498,0.010056446911490893,0.002471825622893841
1.4500000000000004,"(1.4, 1.5]",30,-0.00721912783708305,0.03396457421898827,0.006307063095634604,-0.0005751622201692896,0.01058292958976934,0.0024216156678826097
1.5500000000000005,"(1.5, 1.6]",32,-0.003616269358997337,0.02321355041528594,0.004169276733451198,0.00268425151929641,0.01167954407226885,0.0025876816084642014
1.6500000000000004,"(1.6, 1.7]",25,0.0026317952338190762,0.014763059099380398,0.0030134968196695124,0.0059079113227547,0.00798936236829664,0.0020026361608645247
1.7500000000000004,"(1.7, 1.8]",32,0.0037791083811386517,0.01600245396221235,0.0028741255770527102,0.006484579093237741,0.010664670252806836,0.0023628294822781223
1.8500000000000005,"(1.8, 1.9]",26,0.004594575489809776,0.016333275294887685,0.003266655058977537,0.007074672418847072,0.013798020334631879,0.003391486129100142
1.9500000000000006,"(1.9, 2.0]",34,-0.007016666928040875,0.043916432804015894,0.007644869680459001,0.0043530281806027915,0.014499091274792259,0.003116457895835045
2.0500000000000007,"(2.0, 2.1]",33,0.008736496299322867,0.02289825640994345,0.004047878096204835,0.014103858388992307,0.009194770843160931,0.002006059816242909
2.1500000000000004,"(2.1, 2.2]",35,0.008512686608993292,0.02154454213228698,0.003694858493230387,0.014146111307038467,0.009078885338046514,0.0019233505568578492
2.250000000000001,"(2.2, 2.3]",34,0.013756007836205394,0.010454903844871825,0.0018199651545575,0.01388397084553361,0.008575085432939257,0.0018431425941434745
2.3500000000000005,"(2.3, 2.4]",41,0.007725877279810334,0.05244362709371593,0.008292065518832952,0.017369046959942125,0.014276395047657254,0.0027943870959941646
2.4500000000000006,"(2.4, 2.5]",33,0.010579525786018038,0.04880836342379403,0.008628181188895552,0.020016356248319767,0.009614630213297115,0.0020976622090888093
2.5500000000000007,"(2.5, 2.6]",28,0.012561028668737364,0.03730046622525678,0.007178478072016849,0.019270384244659766,0.008027675732183083,0.0019013879805810654
2.650000000000001,"(2.6, 2.7]",12,0.02084853719025374,0.010426239661379467,0.0031436295391925302,0.019945423013327357,0.006810475507950318,0.0024640343108456027
2.750000000000001,"(2.7, 2.8]",6,0.017542322539578475,0.016423791015976977,0.00734494263199497,0.01761627407077171,0.0077314801408323594,0.003955915060035816
