bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
0.65,"(0.6, 0.7]",8,0.2900334596633911,0.017702513850605516,0.006690921318482659,0.29386377334594727,0.006875925064086914,0.0030468149645946517
0.75,"(0.7, 0.8]",40,0.3429135322570801,0.02446563182360508,0.003917636455588869,0.3465414047241211,0.027629841327667236,0.005475305218123313
0.85,"(0.8, 0.9]",42,0.4131752649943034,0.022823135462358774,0.0035643749232498203,0.4155092239379883,0.0250619695186615,0.004846748569098791
0.95,"(0.9, 1.0]",24,0.4846152067184448,0.026651845484239486,0.005557293944685891,0.4815034866333008,0.024914804935455323,0.006373996328432105
1.0499999999999998,"(1.0, 1.1]",26,0.5630227969242976,0.053018038989576396,0.01060360779791528,0.5649266242980957,0.02885450506210327,0.007092296670599442
1.15,"(1.1, 1.2]",25,0.6573479461669922,0.027266504053050835,0.005565751833291999,0.6580791473388672,0.034273624420166016,0.008591123604567165
1.2499999999999998,"(1.2, 1.3]",29,0.749471532887426,0.027303634690696965,0.005159901948552866,0.7458629608154297,0.027367312431335448,0.006369320308466884
1.3499999999999999,"(1.3, 1.4]",22,0.8650870756669478,0.04576272959138236,0.009986246302871676,0.8658547401428223,0.031724302768707274,0.00847697074043493
1.45,"(1.4, 1.5]",22,0.9698655388572,0.039140409060295894,0.008541137488111491,0.9814701080322266,0.04055453109741211,0.010836473728397392
1.5499999999999998,"(1.5, 1.6]",33,1.0581215656164922,0.02735865416297713,0.0048363724706946744,1.0548973083496094,0.021390981674194336,0.004666955761981535
1.6499999999999997,"(1.6, 1.7]",26,1.1630662037776067,0.031764131215688655,0.006352826243137731,1.1673126220703125,0.03350653123855591,0.008235742024861622
1.7499999999999998,"(1.7, 1.8]",27,1.2424003459789135,0.024241950399141694,0.004754237620491227,1.2390937805175781,0.02613169527053833,0.006302975827165294
1.8499999999999999,"(1.8, 1.9]",22,1.3336227590387517,0.02651136295655384,0.00578525369165982,1.3336772918701172,0.031217971801757814,0.00834167532281458
1.95,"(1.9, 2.0]",15,1.406429926554362,0.027339868482023074,0.007306887204227836,1.4045143127441406,0.034537919998168944,0.011176620072370084
2.0499999999999994,"(2.0, 2.1]",24,1.479891300201416,0.026975381180761343,0.005624755800872693,1.4838619232177734,0.035326743364334105,0.00903769999737362
2.1499999999999995,"(2.1, 2.2]",11,1.5506799004294656,0.03475817247292753,0.010991499231941823,1.5604782104492188,0.027456706523895265,0.010375571741063051
2.2499999999999996,"(2.2, 2.3]",18,1.6169629626803927,0.03097238176101748,0.007511905969272294,1.6178884506225586,0.02541972255706787,0.0075092141892041265
2.3499999999999996,"(2.3, 2.4]",15,1.6816090901692708,0.020713477743881225,0.005535909786155059,1.6875629425048828,0.01994724941253662,0.006455016057265424
2.4499999999999993,"(2.4, 2.5]",11,1.8048934936523438,0.28365368022219,0.08969916961911767,1.712808609008789,0.026770880699157715,0.010116406096405513
2.5499999999999994,"(2.5, 2.6]",7,1.8100317546299525,0.06282784307726251,0.02564935952982427,1.8121585845947266,0.05824961471557617,0.027593321152635856
2.6499999999999995,"(2.6, 2.7]",5,1.8728309631347657,0.02047320663890564,0.01023660331945282,1.872781753540039,0.01933315086364746,0.010836214077604003
2.7499999999999996,"(2.7, 2.8]",1,1.9238643646240234,,,1.9238643646240234,0.0,0.0
2.849999999999999,"(2.8, 2.9]",5,2.0505653381347657,0.04115736159587108,0.02057868079793554,2.0400209426879883,0.01828303527832031,0.010247625214407878
