bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.375,"(-0.4, -0.35]",2,0.05821417387037009,0.04201402989880943,0.04201402989880943,0.05821417387037009,0.022013928435799076,0.019509336114795252
-0.325,"(-0.35, -0.3]",20,0.02398528720103652,0.02564549413781829,0.005883479858100772,0.026774912759583103,0.027146713489286135,0.007607854533075996
-0.275,"(-0.3, -0.25]",13,0.02655385605834062,0.04659816108865277,0.013451730424137612,0.027388763594245802,0.03534393168948899,0.012285790956904193
-0.22500000000000006,"(-0.25, -0.2]",16,0.033065159758807194,0.03703202815652497,0.009561628555100357,0.04187458661671606,0.04102921977774163,0.012855625297617076
-0.17500000000000007,"(-0.2, -0.15]",14,0.046811564266803884,0.04864008057287126,0.013490331119091321,0.06317718606225675,0.05989228082357989,0.02006165570840327
-0.12500000000000008,"(-0.15, -0.1]",14,0.07470342433545214,0.04382991722681307,0.012156231843124381,0.05852143417306799,0.04390128253632319,0.01470527425721787
-0.0750000000000001,"(-0.1, -0.05]",14,0.10544082777909404,0.07532019402127772,0.02089006320166254,0.09007022971458944,0.05754072952109316,0.01927397469237887
-0.0250000000000001,"(-0.05, -1.1e-16]",19,0.08931632240562686,0.09034547885067094,0.021294633581618413,0.06771518656890763,0.022534499813381494,0.006479344338848856
0.02499999999999989,"(-1.1e-16, 0.05]",15,0.152138219367716,0.06141494085546248,0.016413833365008994,0.1541707045678642,0.0740851586222558,0.023974277286128522
0.07499999999999987,"(0.05, 0.1]",60,0.17362482526379974,0.06343232950814073,0.008258185899641621,0.1775758090876689,0.058470362247220554,0.009460630871310159
0.12499999999999986,"(0.1, 0.15]",158,0.17860317110669022,0.05986428728302248,0.00477769025285821,0.18600147629588015,0.0412075425425708,0.004108734802404984
0.1749999999999998,"(0.15, 0.2]",247,0.18452037907014998,0.05848629923101333,0.003728950242294833,0.18857009644968414,0.04194546202360104,0.0033450024819054783
0.22499999999999984,"(0.2, 0.25]",178,0.17248944838986333,0.05751169550148228,0.0043228437487397315,0.17497718968872533,0.04542494592184555,0.004267213342878396
0.2749999999999999,"(0.25, 0.3]",48,0.17730941861048385,0.08106152837922241,0.011824039147841615,0.18366007629970227,0.06452888891216443,0.011673296243023316
0.32499999999999984,"(0.3, 0.35]",5,0.20477860760521552,0.06388253580988783,0.031941267904943914,0.23285091858582518,0.035524907559715525,0.019911679483555385
0.3749999999999998,"(0.35, 0.4]",1,0.23694558396884702,,,0.23694558396884702,0.0,0.0
