bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
0.125,"(0.1, 0.15]",8,-0.10915494493394684,0.10619670223793776,0.04013858059667996,-0.12103119910513627,0.10565268356297054,0.04681612645992225
0.17500000000000002,"(0.15, 0.2]",18,-0.01873705125193206,0.13773298020344332,0.033405154441759004,-0.0035703733617307165,0.0960713140319399,0.0283803284195775
0.22500000000000003,"(0.2, 0.25]",57,0.016999618922890192,0.10228801255744374,0.013668810634428038,0.004951990261162109,0.0088669611740563,0.0014719644370683304
0.2750000000000001,"(0.25, 0.3]",154,0.00021441281298123865,0.01826684229367064,0.001476786671045177,0.001131404153365878,0.006419704776276875,0.0006483576428376911
0.32500000000000007,"(0.3, 0.35]",136,-0.003929582075210194,0.056296791554333286,0.004845256358552071,-0.0013983221489066722,0.007548584777597892,0.0008112524497802446
0.3750000000000001,"(0.35, 0.4]",164,-0.006077881136957411,0.017804484351809154,0.0013945548425201583,-0.005431093610939186,0.007195403690413319,0.0007041953923185697
0.42500000000000016,"(0.4, 0.45]",123,-0.013216842885136165,0.02275754026857428,0.0020603708863080297,-0.00999211679922496,0.00594306372235067,0.0006716109520837284
0.4750000000000001,"(0.45, 0.5]",130,-0.01654296051005446,0.046890116941796435,0.0041284445959119155,-0.014151260590669068,0.00789245546476319,0.0008675617623718384
0.5250000000000001,"(0.5, 0.55]",117,-0.01955872879797405,0.045958690894080514,0.0042671573238754375,-0.019856034629064823,0.005817167373166399,0.0006740289765149891
0.5750000000000002,"(0.55, 0.6]",102,-0.02486037834624517,0.015933130506568943,0.0015854057410505423,-0.02269733443672628,0.006980874365783772,0.0008663027135347006
0.6250000000000002,"(0.6, 0.65]",95,-0.018369432431993286,0.08310463361784655,0.00857158847759997,-0.02626315259250589,0.00827539875817628,0.0010641113261068555
0.6750000000000002,"(0.65, 0.7]",96,-0.0343478006016699,0.014870122726136062,0.0015256424009865077,-0.03200226941241269,0.007977328706617836,0.0010204266904437812
0.7250000000000002,"(0.7, 0.75]",80,-0.03456626775170239,0.007271393449812373,0.0008180956793256643,-0.034352113696325404,0.006377742895406207,0.0008936798227299021
0.7750000000000002,"(0.75, 0.8]",79,-0.042135873720069446,0.0178850870614647,0.002025087333337313,-0.03885758670655193,0.005261973476875848,0.0007419848665663514
0.8250000000000002,"(0.8, 0.85]",75,-0.04175945985013385,0.008599410777252828,0.0009996611974437929,-0.04239600195748494,0.007205306738456519,0.0010427537990848551
0.8750000000000002,"(0.85, 0.9]",69,-0.047810553588520315,0.029974567725056366,0.0036349502591952196,-0.044960225791527364,0.008407798019334613,0.001268579424712692
0.9250000000000003,"(0.9, 0.95]",76,-0.05058826795025452,0.013001598024618644,0.001501295223881776,-0.049835911521306286,0.006853478507545108,0.0009852902779522842
0.9750000000000003,"(0.95, 1.0]",74,-0.05311050514568182,0.010234841985400237,0.0011978976473423664,-0.05259328044516032,0.0076296613875035625,0.0011116020590995197
1.0250000000000004,"(1.0, 1.05]",89,-0.056697959337561755,0.012869109990689517,0.001371851734437074,-0.054808495836478954,0.007783890876429602,0.0010340979425537214
1.0750000000000002,"(1.05, 1.1]",104,-0.060146963082333214,0.010621461137599658,0.0010465636635761163,-0.05851058053665703,0.006809956642534536,0.0008369270711596409
1.1250000000000004,"(1.1, 1.15]",112,-0.06619758469439543,0.02082056611976185,0.001976200680866554,-0.06371912326707552,0.0073552900144956065,0.0008710653303535132
1.1750000000000003,"(1.15, 1.2]",169,-0.08094669888923775,0.023100693436604296,0.0017822571918576762,-0.0724721149175096,0.01636716388176861,0.0015779382985215567
1.2250000000000003,"(1.2, 1.25]",542,-0.10280541623051025,0.03008122539134439,0.0012932928935089896,-0.09852400533051231,0.031781592046256364,0.0017109445862667045
1.2750000000000004,"(1.25, 1.3]",703,-0.11150874027776686,0.032076955275260624,0.0012106666594486981,-0.10721095495758348,0.03182708566389882,0.0015044548165431383
1.3250000000000004,"(1.3, 1.35]",559,-0.11937698832607781,0.03669677180019916,0.001553498226374101,-0.11419609435941425,0.03039751591449464,0.001611358332056261
1.3750000000000004,"(1.35, 1.4]",233,-0.13401635305037787,0.03285292729500602,0.0021569003460535268,-0.12938792766598795,0.03369365497497811,0.0027664963550365195
1.4250000000000005,"(1.4, 1.45]",56,-0.14360777715890194,0.0370156747774356,0.004991192568786236,-0.14246345048406361,0.034698206564727156,0.005811295414271107
1.4750000000000005,"(1.45, 1.5]",11,-0.1737832398881994,0.06591653519984815,0.02084463866981824,-0.1442331022255381,0.06532178604434888,0.024684347220147257
